Metadata:
title: London Average Air Quality Levels
summary: The data shows roadside and background average readings for Nitric Oxide, Nitrogen Dioxide, Oxides of Nitrogen, Ozone, Particulate Matter (PM10 and PM2.5), and Sulphur Dioxide. Measured in Micrograms per Cubic Meter of Air (ug/m3). The spreadsheet shows which Index level each reading falls in, and contains charts showing pollutant levels by time of day per month.



Trend graphs of Nitrogen Dioxide and Particulate Matter PM2.5 are on the London Dashboard.



Link to GLA Air Quality page
links: https://data.london.gov.uk/download/london-average-air-quality-levels/576175f3-b515-4c77-a6a2-6e222a3e5340/air-quality-london-time-of-day.csv
name: 576175f3-b515-4c77-a6a2-6e222a3e5340
publisher: King'S College London
topic: Air-Pollution, Air-Quality, Aq, Daily, Emissions, Hourly, Index, Levels, Monitoring, Nitrogen-Dioxide, No, No2, Nox, O3, Particulate-Matter, Pm10, Pm25, Pollution, So2
format: Csv

Month (text),GMT,London Mean Roadside:Nitric Oxide (ug/m3),London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Oxides of Nitrogen (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitric Oxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Oxides of Nitrogen (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3)
Jan-08,00:00,,42.3,,32.6,23.0,15.5,3.4,,34.2,,41.8,19.2,.,3.1
Jan-08,01:00,,33.8,,35.3,21.2,13.5,2.6,,29.0,,45.3,18.9,.,3.1
Jan-08,02:00,,28.8,,43.2,19.6,12.7,2.1,,25.4,,46.6,17.7,.,3.3
Jan-08,03:00,,27.3,,42.4,18.3,11.9,2.0,,23.4,,46.6,16.4,.,3.3
Jan-08,04:00,,29.4,,40.1,18.1,12.0,2.2,,24.2,,45.2,16.0,.,2.8
Jan-08,05:00,,38.3,,33.8,18.7,12.2,2.2,,29.4,,40.3,15.5,.,2.4
Jan-08,06:00,,53.7,,26.7,21.5,14.5,3.4,,39.6,,34.1,16.7,.,2.8
Jan-08,07:00,,66.2,,22.4,23.4,15.0,4.2,,49.3,,29.3,17.1,.,3.0
Jan-08,08:00,,69.5,,21.5,25.3,14.9,4.7,,52.9,,28.1,17.7,.,3.5
Jan-08,09:00,,67.1,,23.7,26.6,14.8,5.2,,50.5,,31.4,19.1,.,3.8
Jan-08,10:00,,62.3,,28.0,26.7,14.6,5.3,,45.6,,36.1,18.5,.,3.9
Jan-08,11:00,,60.5,,29.6,28.1,14.8,5.0,,43.1,,37.9,19.2,.,4.2
Jan-08,12:00,,59.3,,30.0,28.0,14.6,5.0,,41.4,,39.9,19.1,.,3.9
Jan-08,13:00,,59.7,,30.6,27.7,13.8,5.1,,40.0,,41.5,18.5,.,3.6
Jan-08,14:00,,60.8,,30.6,26.3,14.2,4.9,,41.1,,41.1,17.0,.,3.5
